24
1	2  
2	2
3	1
4	10
5	4  
6	7
7	4
8	10
9	4
10	9  
11	3
12	2
13	4
14	2
15	ERROR
16	3
17	7   
18	1
19	10
20	8
21	7
22	2
23	6
24	9   
ERROR	5
26	8
27	2
28	6
29	6
30	5
31	8
32	7
33	4
34	3
35	ERROR
36	8
37	3
38	1
39	10
40	1
41	6
42	9
43	8
44	6
ERROR	10
46	2
47	10
48	4
49	1
50	3
51	10
52	8
53	4
54	1
55	9
56	10
57	5
58	1
59	6
60	6
61	7
62	8
63	2
64	9
65	10
66	1
67	5
68	9
69	6
70	9
71	3
72	8
73	6
74	9
75	1
76	7
77	9
78	5
79	9
80	7
81	4
82	1
83	9
84	10
85	8
86	9
87	9
88	8
89	6
90	7
91	8
92	9
93	10
94	7
95	1
96	1
97	10
98	5
99	10
100	2
101	4
102	8
103	8
104	2
105	8
106	2
107	5
108	4
109	5
110	3
111	5
112	4
113	5
114	7
115	7
116	9
117	4
118	3
119	1
120	2
121	7
122	1
123	2
124	5
125	5
126	4
127	2
128	2
129	9
130	3
131	1
132	3
133	8
134	2
135	5
136	9
137	9
138	3
139	9
140	8
141	8
142	5
143	2
144	6
145	5
146	10
147	8
148	9
149	2
150	2
151	8
152	4
153	9
154	8
155	7
ERROR ERROR
157	1
158	6
159	10
160	9
161	4
162	10
163	6
164	4
165	5
166	10
167	2
168	6
169	10
170	10
171	2
172	3
173	8
174	7
175	8
176	4
177	9
178	8
179	5
180	8
181	2
182	9
183	8
184	1
185	3
186	6
187	8
188	1
189	3
190	5
191	2
192	8
193	2
194	6
195	10
196	2
197	7
198	9
199	5
200	10
201	3
202	10
203	2
204	4
205	1
206	6
207	9
208	9
209	1
210	6
211	6
212	10
213	7
214	7
215	7
216	10
217	10
218	1
219	2
220	9
221	10
222	9
223	1
224	7
225	8
226	4
227	2
228	5
229	7
230	6
231	1
232	8
233	7
234	9
235	1
236	9
237	6
238	3
239	6
240	9
